Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
CCR1,0,0,0,0,0,0,0,0
CCR10,0,1,0,0,1,0,0,0
CCR2,3,5,4,8,0,6,3,1
CCR3,0,0,0,0,0,0,1,0
CCR4,224,189,1411,1354,944,604,951,260
CCR5,243,235,1044,888,785,817,851,363
CCR6,0,0,0,4,0,0,1,0
CCR7,0,0,0,3,0,1,1,0
CCR8,29,75,297,217,119,139,150,58
CCR9,0,0,0,0,0,0,0,0
CCRL1,0,0,3,1,1,1,3,0
CCRL2,39,257,2807,1890,1316,1058,1788,450
CCRN4L,8,9,135,115,70,42,120,15
CCS,138,263,2745,1213,1395,1462,2492,634
CCSAP,78,303,1176,634,596,1582,963,748
CCSER1,0,0,0,0,0,0,0,0
CCSER2,0,0,2,1,1,1,0,0
CCT2,0,0,2,0,1,0,1,0
CCT3,0,0,4,3,1,0,0,0
CCT4,68,75,165,142,100,212,156,95
CCT5,238,674,6491,1778,3110,5508,4922,2842
CCT6A,0,0,26,5,17,14,31,4
CCT6B,0,0,8,1,1,14,10,2
CCT6P1,437,755,7004,4731,3131,2096,4520,834
CCT6P3,1,0,12,1,2,8,8,4
CCT7,138,1025,1709,631,1035,2475,1417,1208
CCT8,6,2,6,3,5,12,14,7
CCT8L2,0,0,0,3,0,1,0,0
CCZ1,79,1406,12970,3174,5735,3053,9044,481
CCZ1B,2,2,7,16,5,7,3,1
CD101,0,0,0,0,0,0,0,0
CD109,0,0,0,1,0,0,0,0
CD14,0,0,0,0,0,0,0,0
CD151,0,0,0,0,0,0,0,0
CD160,0,0,0,0,0,0,1,0
CD163,236,741,7279,3034,4093,2747,5502,1099
CD163L1,1,8,39,75,17,15,35,2
CD164,0,0,0,0,0,0,0,0
CD164L2,0,0,0,12,0,1,0,0
CD177,0,0,0,0,0,0,0,0
CD180,0,0,0,1,0,0,0,0
CD19,0,0,0,0,0,0,0,0
CD1A,2,3,98,86,57,25,75,2
CD1B,101,211,1341,756,1002,797,1243,408
CD1C,2,3,99,103,73,16,99,5
CD1D,0,0,0,0,0,0,4,0
CD2,0,1,3,4,0,1,4,1
CD200,0,0,0,0,0,0,0,0
CD200R1,0,0,0,1,0,0,0,0
CD200R1L,0,0,0,22,0,1,0,0
CD207,0,0,0,6,0,0,1,0
CD209,69,139,2665,1430,1761,1794,1968,779
CD22,0,0,0,0,0,2,0,0
CD226,0,0,0,0,0,0,1,0
CD24,0,0,0,0,3,0,0,0
CD244,0,0,1,35,15,5,0,1
CD247,0,0,0,22,0,0,0,1
CD248,0,0,0,9,0,0,0,0
CD27,0,0,0,0,0,0,0,0
CD27-AS1,0,0,0,0,0,0,0,0
CD274,0,0,3,16,1,3,0,0
CD276,82,76,647,575,423,469,527,168
CD28,0,0,10,0,5,7,14,4
CD2AP,0,6,2,0,1,2,2,0
CD2BP2,0,1,12,46,2,9,21,5
CD300A,0,0,0,0,4,0,0,1
CD300C,0,0,1,0,2,0,1,0
CD300E,0,0,0,0,1,0,0,0
CD300LB,1,3,15,2,10,19,17,12
CD300LF,0,0,0,29,0,1,0,1
CD300LG,0,0,0,0,0,0,0,0
CD302,0,0,0,0,0,0,0,0
CD320,909,5221,24361,11378,13598,17632,20217,6974
CD33,946,1830,6005,5154,3453,5266,4546,2323
CD34,567,3304,16837,8558,10576,8982,11261,3665
CD36,1,0,3,6,2,0,4,1
CD37,0,0,2,0,0,0,1,0
CD38,4,1,25,16,13,25,25,6
CD3D,274,742,4077,2491,2401,3718,3720,1790
CD3E,0,0,1,0,1,0,1,0
CD3EAP,0,0,2,0,2,6,7,1
CD3G,0,0,0,0,0,0,0,0
CD4,248,364,652,450,497,1332,691,607
CD40,0,1,0,0,1,5,0,1
CD40LG,0,0,1,0,0,0,0,0
CD44,1,0,3,12,7,3,5,1
CD46,0,0,0,0,0,0,0,0
CD47,0,0,0,19,0,1,2,0
CD48,0,0,0,9,0,0,0,0
CD5,0,0,0,0,0,0,0,0
CD52,0,0,2,5,1,0,0,0
CD53,0,0,0,0,2,0,2,0
CD55,9,40,567,251,260,209,371,91
CD58,0,0,0,5,0,0,0,1
CD59,1,0,4,4,3,2,2,0
CD5L,192,1390,4774,1738,2996,2691,3373,1239
CD6,31,127,1572,1025,1063,323,1236,153
CD63,16,13,1460,879,796,194,761,57
CD68,0,0,1,0,2,0,0,0
CD69,0,0,0,0,0,0,0,0
CD7,0,0,0,0,0,0,1,0
CD72,0,0,0,8,0,1,0,0
CD74,0,0,0,3,0,0,1,0
CD79A,0,0,8,18,1,1,5,0
CD79B,0,0,0,0,0,0,0,0
CD80,0,0,0,8,0,2,1,0
CD81,0,0,0,0,0,0,0,0
CD82,0,0,0,0,0,0,0,0
CD83,103,136,117,145,73,685,83,349
CD84,0,0,0,9,0,2,3,0
CD86,0,0,0,0,0,0,0,0
CD8A,0,0,0,10,0,0,0,0
CD9,0,0,0,2,0,0,0,0
CD93,0,0,0,0,0,0,0,0
CD96,0,0,0,4,0,0,2,0
CD97,0,0,0,6,0,0,0,0
CD99,0,0,0,0,0,0,0,0
CD99L2,0,0,0,0,0,0,0,0
CD99P1,0,0,0,1,0,0,1,0
CDA,5,8,84,20,22,27,62,13
CDADC1,0,0,0,0,0,0,0,0
CDAN1,0,0,0,8,0,0,0,0
CDC123,0,0,5,2,2,4,13,1
CDC14A,39,51,448,244,273,363,384,186
CDC14B,20,12,105,90,67,66,77,25
CDC14C,130,870,4723,1813,2820,3873,3705,2059
CDC16,0,0,5,2,2,2,2,0
CDC20,2,12,89,17,47,66,56,31
CDC20B,414,840,2327,1067,1691,3354,1970,1718
CDC23,422,1016,6300,2835,4826,5385,5385,2416
CDC25A,3,8,0,5,4,6,3,3
CDC25B,18,27,143,87,73,101,85,48
CDC25C,0,0,4,1,0,0,1,0
CDC26,3,17,240,104,128,198,123,97
CDC27,0,0,2,0,0,3,3,0
CDC2L1,1,3,30,10,12,23,34,7
CDC34,0,0,2,0,1,0,0,0
CDC37,0,0,0,0,0,0,0,0
CDC37L1,0,3,2,23,2,3,4,3
CDC40,0,0,0,0,0,0,0,0
CDC42,0,0,0,0,0,0,0,0
CDC42BPA,26,137,1348,225,380,1493,1235,755
CDC42BPB,0,0,1,0,0,0,0,0
CDC42BPG,0,0,0,1,0,0,0,0
CDC42EP1,498,3024,7759,1882,3576,12603,5405,7566
CDC42EP2,142,978,4501,1636,2259,3338,3233,1641
CDC42EP3,0,0,2,6,1,4,5,2
CDC42EP4,1,0,5,10,5,6,2,1
CDC42EP5,0,0,5,6,0,0,0,0
CDC42P3,3,31,469,86,202,106,320,43
CDC42SE1,0,0,0,0,0,0,2,0
CDC42SE2,2,6,109,32,44,42,97,18
CDC45,24,60,470,165,238,418,619,137
CDC5L,0,4,21,11,8,12,34,6
CDC6,0,2,3,1,1,2,2,1
CDC7,0,0,0,0,0,0,0,0
CDC73,260,849,3084,1368,2168,3932,2939,2002
CDCA2,3,5,17,8,14,14,24,18
CDCA3,204,657,1639,1079,899,2675,1007,1358
CDCA4,0,0,1,0,0,0,1,0
CDCA5,0,0,0,21,0,0,0,0
CDCA7,1,2,7,2,0,1,10,2
CDCA7L,85,322,2473,1323,1350,1443,1740,692
CDCA8,0,0,6,2,1,3,2,5
CDCP1,0,0,0,3,0,0,3,0
CDCP2,0,0,0,3,0,1,0,0
CDH1,1455,1643,5002,4915,2732,3631,2821,1485
CDH10,683,2845,8326,2925,4932,9092,6772,5131
CDH11,0,0,0,0,0,1,0,0
CDH12,41,52,236,172,98,158,154,82
CDH13,0,0,0,0,0,0,0,0
CDH15,0,0,0,0,0,0,0,0
CDH16,0,0,0,0,0,0,0,0
CDH17,0,0,0,0,0,0,0,0
CDH18,0,0,0,0,0,0,0,0
CDH19,0,0,0,0,0,0,0,0
CDH2,131,75,632,439,408,789,658,316
CDH20,519,2323,22478,11005,14898,6458,17641,2091
CDH22,0,0,3,0,0,0,0,0
CDH23,489,2175,8531,3710,5353,7276,7460,3765
CDH24,0,0,4,7,2,0,2,0
CDH26,0,0,1,15,1,1,0,0
CDH3,0,0,0,3,0,0,0,0
CDH4,3518,2888,19861,17328,13335,12032,15938,4533
CDH5,4,3,1,1,1,3,1,5
CDH6,664,4277,22800,12359,11622,9462,9658,5000
CDH7,7,44,1093,261,586,560,849,276
CDH8,122,1432,21433,5068,8947,7489,14145,3778
CDH9,1,2,85,72,50,9,56,10
CDHR1,0,0,0,0,0,0,0,0
CDHR2,128,494,3333,1538,1571,1676,1607,873
CDHR3,0,0,0,0,0,0,0,0
CDHR4,0,0,0,2,0,1,0,0
CDHR5,0,0,0,0,0,0,0,3
CDIP1,0,0,0,0,0,0,0,0
CDIPT,297,1219,2668,1368,1883,3196,2260,1610
CDIPT-AS1,3,1,25,3,2,2,27,0
CDK1,1973,2772,18660,11155,9894,6665,9494,2674
CDK10,8,30,235,131,127,62,144,29
CDK11A,0,0,3,3,1,1,4,1
CDK11B,301,1366,4068,1702,2696,5363,3499,2832
CDK12,0,0,23,26,19,8,29,1
CDK13,0,0,1,0,0,1,1,0
CDK14,0,0,3,28,0,2,0,1
CDK15,97,105,1216,862,816,584,1011,183
CDK16,0,0,0,3,0,0,0,0
CDK17,0,0,0,1,0,1,1,0
CDK18,384,2327,22191,8516,11181,8190,12118,3089
CDK19,0,0,0,2,0,0,0,0
CDK2,19,3,40,70,38,23,38,4
CDK20,0,0,0,0,0,0,0,0
CDK2AP1,0,1,1,0,0,0,0,0
CDK2AP2,0,2,31,12,10,3,19,0
CDK3,26,312,1404,493,876,747,934,429
CDK4,0,0,1,14,0,0,1,0
CDK5,0,0,0,2,0,0,0,0
CDK5R1,0,0,0,0,0,0,0,0
CDK5R2,62,390,1952,844,928,1894,921,938
CDK5RAP1,183,1506,15164,6240,8750,3260,8336,1272
CDK5RAP2,0,0,2,0,1,1,4,0
CDK5RAP3,113,853,3234,734,1614,4723,2848,2630
CDK6,0,0,0,0,0,0,0,0
CDK7,0,0,0,0,2,1,3,1
CDK8,0,0,3,4,2,4,3,0
CDK9,0,0,1,0,0,1,0,0
CDKAL1,0,0,0,2,0,0,3,0
CDKL1,0,0,2,20,1,1,1,1
CDKL2,0,0,0,0,0,0,0,0
CDKL3,0,2,1,3,0,1,0,0
CDKL4,0,0,0,0,0,0,0,0
CDKL5,0,0,0,0,0,0,0,0
CDKN1A,0,0,0,0,0,0,0,0
CDKN1B,0,0,0,0,0,0,0,0
CDKN1C,0,0,6,2,1,0,4,1
CDKN2A,0,0,1,0,0,0,0,0
CDKN2AIP,35,74,994,411,482,655,1207,285
CDKN2AIPNL,0,0,0,20,0,2,0,0
CDKN2B,0,0,0,0,0,0,0,0
CDKN2B-AS1,0,0,0,12,1,0,0,0
CDKN2C,178,555,1847,938,877,1235,957,591
CDKN2D,9,78,541,411,259,202,202,120
CDKN3,0,0,3,13,2,1,4,1
CDNF,0,0,0,2,0,0,0,0
CDO1,7,37,10,3,1,227,2,148
CDON,0,0,0,0,0,0,0,0
CDPF1,0,0,1,17,0,1,0,0
CDR1,0,0,0,1,0,0,0,0
CDR2,0,1,10,0,5,6,6,7
CDR2L,0,0,10,0,4,2,3,0
CDRT1,5351,21481,57870,32073,32741,30337,25734,13786
CDRT15L2,0,0,0,0,0,0,0,0
CDRT15P1,188,918,4771,2434,1738,1922,1967,924
CDRT4,226,864,1934,1531,925,1382,766,676
CDS1,2,0,7,0,3,5,1,2
CDS2,0,5,14,6,4,8,15,7
CDSN,0,0,0,0,0,1,0,0
CDT1,5920,10270,22442,17963,8887,16270,8740,8178
CDV3,41,462,1683,734,997,560,991,223
CDX1,3,33,77,11,50,53,63,25
CDX2,19,172,953,383,510,534,643,271
CDY1,0,7,46,28,9,22,24,9
CDY2A,58,546,1103,577,510,935,665,527
CDYL,0,0,9,0,3,6,2,0
CDYL2,0,0,2,2,2,0,0,0
CEACAM1,0,0,7,2,2,2,7,2
CEACAM16,0,0,0,2,0,2,2,0
CEACAM18,102,1062,3565,1227,1429,1929,1684,1090
CEACAM19,0,0,0,0,0,0,0,0
CEACAM20,0,0,0,0,0,0,0,0
CEACAM21,0,5,17,6,4,11,11,3
CEACAM22P,1,3,65,6,21,17,47,7
CEACAM3,0,0,4,0,0,1,1,0
CEACAM4,0,0,0,0,0,4,0,0
CEACAM5,282,267,471,586,251,246,193,124
CEACAM6,6,20,15,40,3,34,16,19
CEACAM7,0,0,1,0,0,1,0,0
CEACAM8,0,0,0,0,0,1,0,0
CEBPA,0,5,8,6,0,8,1,3
CEBPA-AS1,1422,9996,19735,10314,10904,10626,9352,4906
CEBPB,2,6,173,138,88,17,75,10
CEBPD,0,0,0,8,0,0,0,0
CEBPE,0,0,0,0,0,0,0,0
CEBPG,0,0,0,0,0,0,0,0
CEBPZ,0,0,0,0,0,0,0,0
CECR2,0,0,0,0,0,0,0,0
CECR3,0,0,0,0,0,0,0,0
CECR5,0,0,0,0,0,0,0,0
CECR5-AS1,0,0,0,0,0,0,0,0
CECR6,0,0,0,0,0,0,0,0
CECR7,0,0,0,0,0,0,0,0
CEL,0,0,0,0,0,0,0,0
CELA1,0,0,0,0,0,0,0,0
CELA2A,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0
CELA3B,0,0,0,0,0,0,0,0
CELF1,0,0,0,0,0,0,0,0
CELF2,0,0,0,0,0,0,0,0
CELF3,0,0,0,0,0,0,0,0
CELF4,3,25,72,11,13,36,28,33
CELF5,1,10,65,5,25,29,46,24
CELF6,0,0,11,4,4,21,7,4
CELP,143,56,92,77,90,340,86,212
CELSR1,371,1583,2822,1456,1917,3241,2638,1501
CELSR2,0,0,0,1,0,0,0,0
CELSR3,0,0,0,6,0,0,1,0
CEMP1,0,0,1,26,0,2,1,0
CEND1,1,0,10,7,9,2,11,0
CENPA,0,0,0,0,1,0,0,0
CENPB,0,0,4,11,0,4,7,0
CENPBD1,4,7,111,73,74,74,173,34
CENPC1,0,0,0,0,0,0,0,1
CENPE,774,1235,7467,4825,4907,3127,4879,1249
CENPF,0,0,0,0,0,0,0,0
CENPH,0,0,10,1,7,5,4,0
CENPI,106,357,1300,642,733,1068,1076,434
CENPJ,0,0,0,0,0,0,0,0
CENPK,2,2,6,6,4,6,4,2
CENPL,0,0,0,0,0,0,2,0
CENPM,0,0,22,4,14,12,9,10
CENPN,199,564,4896,2667,2718,2905,3925,1255
CENPO,0,0,0,0,0,0,0,0
CENPP,1,0,7,1,0,4,1,5
CENPQ,71,245,2839,1575,1694,1587,2373,637
CENPT,0,0,3,12,1,1,2,0
CENPV,0,0,4,3,0,3,3,0
CENPW,0,0,0,1,1,0,0,0
CEP104,240,765,2822,1270,1701,2408,2012,1103
CEP112,30,168,1517,726,797,1037,1060,438
CEP120,0,2,11,1,1,6,5,8
CEP128,0,0,0,0,0,2,0,3
CEP135,0,0,0,0,0,0,0,0
CEP152,0,0,0,0,0,0,0,0
CEP164,0,0,0,0,0,0,0,0
CEP170,166,3162,6514,2726,4114,4602,4561,2660
CEP170B,0,1,13,10,7,19,26,4
CEP170P1,0,0,0,0,0,0,0,0
CEP19,0,2,11,24,6,19,8,15
CEP192,0,0,0,1,0,0,0,0
CEP250,0,0,0,0,0,0,0,0
CEP290,224,394,3920,2279,2337,2400,3129,1044
CEP350,11,57,57,46,27,123,25,72
CEP41,0,0,5,1,1,1,0,0
CEP44,0,0,35,24,13,5,14,3
CEP55,0,0,1,0,0,2,0,1
CEP57,0,1,0,0,0,2,2,2
CEP57L1,283,1039,4320,1422,2461,4087,2561,2040
CEP63,0,0,14,8,1,9,19,1
CEP68,0,0,0,8,0,0,0,0
CEP70,75,440,4273,2003,2172,2082,3151,813
CEP72,147,205,2000,1579,1088,763,1095,371
CEP76,0,0,0,0,0,0,0,0
CEP78,153,146,693,574,390,781,474,361
CEP85,0,0,0,0,0,0,0,0
CEP85L,0,1,3,1,2,5,3,5
CEP89,1,0,7,8,5,4,2,0
CEP95,0,0,35,5,19,10,23,5
CEP97,0,0,0,2,0,0,0,0
CEPT1,81,173,1998,1157,1165,926,1350,354
CER1,434,769,7417,4294,4570,4102,5131,1801
CERCAM,0,0,0,3,0,0,0,0
CERK,49,274,1512,450,814,1244,1137,675
CERKL,122,271,1119,664,712,1057,750,490
CERS1,245,952,3242,1943,2205,3244,2916,1801
CERS2,0,0,0,0,0,0,0,0
CERS3,141,234,345,316,190,311,137,155
CERS4,295,208,2266,2149,1970,2112,2398,930
CERS5,0,1,0,0,0,2,1,0
CERS6,0,0,0,0,0,1,2,0
CERS6-AS1,0,3,27,50,12,8,40,3
CES1,0,0,0,0,0,0,0,0
CES1P1,0,0,0,0,0,0,0,0
CES1P2,0,0,0,9,0,1,1,0
CES2,0,0,0,0,0,0,0,0
CES3,0,0,0,0,0,0,0,0
CES4A,0,0,0,0,0,0,0,0
CES5A,0,0,0,11,0,0,0,0
CES5AP1,37,533,1854,559,1002,1065,1623,446
CETN1,0,0,0,0,0,0,0,0
CETN2,0,0,0,0,0,0,0,0
CETN3,0,0,1,0,0,0,0,0
CETP,0,0,0,0,0,1,0,0
CFB,0,0,0,9,0,0,0,0
CFC1,0,0,0,0,0,0,0,0
CFC1B,0,0,1,1,0,0,1,0
CFD,559,448,4179,3915,2355,1186,2397,506
CFDP1,20,53,997,336,436,450,775,239
CFH,8,7,34,50,24,22,15,10
CFHR1,0,0,0,0,0,0,0,0
CFHR2,79,406,2845,1003,1817,1418,2281,622
CFHR3,0,0,0,0,0,0,0,0
CFHR4,152,417,491,255,220,1532,271,786
CFI,0,0,0,0,0,0,1,0
CFL1,2,2,6,7,2,5,8,2
CFL1P1,0,0,0,4,0,0,0,0
CFL2,0,0,0,0,0,0,0,0
CFLAR,0,0,0,0,0,0,0,0
CFLAR-AS1,0,0,0,0,0,0,0,0
CFP,0,0,0,0,0,1,0,0
CFTR,0,0,0,0,0,0,0,0
CGA,0,0,0,0,0,0,0,0
CGB,1,1,13,42,9,7,5,3
CGB1,0,0,13,3,0,3,16,3
CGB2,0,0,10,2,5,8,4,2
CGB5,14,36,148,106,84,95,121,51
CGB7,497,267,2141,2098,1186,966,944,458
CGB8,64,235,8176,1628,2496,2944,9394,1257
CGGBP1,0,0,0,3,1,1,2,0
CGN,0,0,0,0,0,0,0,0
CGNL1,0,0,0,1,0,0,0,0
CGREF1,711,2953,17310,7923,9771,7308,11727,3728
CGRRF1,0,0,0,0,0,0,0,0
CH25H,1,0,40,11,18,17,32,9
CHAC1,0,0,3,0,2,6,3,0
CHAC2,1,1,16,10,2,5,25,2
CHAD,0,0,1,1,1,0,2,0
CHADL,1,6,69,28,35,1,91,1
CHAF1A,5,28,135,68,69,77,90,41
CHAF1B,2,0,12,6,2,7,10,0
CHAMP1,0,0,1,0,1,0,0,0
CHAT,0,0,1,1,0,1,1,0
CHCHD1,0,4,7,8,7,5,11,0
CHCHD10,12,48,122,78,96,59,101,40
CHCHD2,0,0,0,0,2,1,0,3
CHCHD3,0,0,0,0,3,0,0,0
CHCHD4,1,4,9,3,2,9,1,4
CHCHD5,3074,4396,33385,21131,21294,13914,23498,5782
CHCHD6,4,0,5,7,0,13,8,9
CHCHD7,1,6,61,51,19,26,46,13
CHD1,98,372,2052,793,1269,1827,1766,906
CHD1L,0,0,0,2,0,0,0,0
CHD2,0,0,0,7,0,1,1,0
CHD3,547,805,3096,1946,2132,2329,1985,1141
CHD4,0,0,4,0,1,1,6,0
CHD5,0,0,1,8,0,0,2,0
CHD6,199,350,2956,1970,1898,1656,2297,727
CHD7,0,0,2,2,0,1,0,1
CHD8,68,380,1485,574,678,1308,1402,574
CHD9,0,0,0,0,0,0,0,0
CHDC2,0,0,0,0,0,0,0,0
CHDH,0,0,0,0,0,0,0,0
CHEK1,0,0,0,0,0,0,0,0
CHEK2,0,0,0,0,0,0,0,0
CHEK2P2,0,0,0,0,0,0,0,0
CHERP,0,0,0,0,0,0,0,0
CHFR,2,2,4,9,4,5,5,0
CHGA,0,0,0,0,0,0,0,0
CHGB,0,0,0,0,0,0,0,0
CHI3L2,223,430,724,279,353,1965,732,1078
CHIA,3,5,10,6,1,15,2,6
CHIAP2,0,0,3,3,0,2,3,1
CHIC1,0,0,0,0,0,1,0,0
CHIC2,0,0,0,0,0,0,0,0
CHID1,0,0,0,0,0,2,0,0
CHIT1,2,0,0,0,0,2,0,5
CHKA,37,892,3885,1431,2165,1027,1838,309
CHKB,0,0,0,4,1,0,5,0
CHKB-AS1,0,0,4,0,2,5,2,5
CHKB-CPT1B,51,196,368,226,322,720,359,352
CHL1,29,46,114,83,56,117,104,62
CHM,0,0,0,5,0,1,0,0
CHML,0,0,0,0,0,1,0,0
CHMP1A,0,1,0,31,3,0,4,0
CHMP1B,0,0,0,0,0,0,0,0
CHMP2A,225,599,3241,1324,1471,2412,2594,1172
CHMP2B,0,5,11,9,5,6,11,2
CHMP3,0,2,144,31,42,23,91,10
CHMP4A,0,1,10,0,5,10,9,1
CHMP4B,151,438,4752,1708,1931,3197,4101,1393
CHMP4C,1,0,0,5,0,2,0,4
CHMP5,66,512,3387,1177,1921,1775,2811,754
CHMP6,0,0,1,12,3,1,0,0
CHMP7,11,5,22,60,27,16,19,8
CHN1,1,0,0,1,0,3,0,0
CHN2,26,153,3482,893,1543,1121,3599,448
CHODL,0,0,0,0,0,0,0,0
CHORDC1,0,3,8,10,3,6,17,5
CHP1,0,0,0,0,1,2,1,0
CHP2,0,0,0,0,0,0,0,0
CHPF,0,0,0,0,0,0,0,0
CHPF2,0,0,0,0,0,0,0,0
CHPT1,0,0,0,0,0,0,0,0
CHRAC1,0,0,0,0,0,0,0,0
CHRD,0,0,0,0,0,1,0,0
CHRDL1,0,0,0,0,0,0,0,0
CHRDL2,0,0,0,1,0,0,0,0
CHRFAM7A,0,0,0,0,0,0,0,0
CHRM1,0,0,0,0,0,0,0,0
CHRM2,0,0,0,1,0,0,0,0
CHRM3,0,0,0,1,0,2,0,0
CHRM4,0,0,0,7,0,0,0,0
CHRM5,0,0,0,1,1,0,0,0
CHRNA1,0,0,0,0,0,0,0,0
CHRNA10,0,0,2,1,1,1,3,0
CHRNA2,0,0,0,9,0,0,0,0
CHRNA3,10,34,242,166,193,215,277,84
CHRNA4,0,0,1,0,0,0,0,0
CHRNA5,0,0,0,0,0,0,1,0
CHRNA6,0,0,0,0,0,0,0,0
CHRNA7,0,0,0,0,0,1,0,0
CHRNA9,0,0,0,4,0,0,0,0
CHRNB1,0,0,11,15,7,4,14,1
CHRNB2,1,5,23,15,22,40,21,19
CHRNB4,0,0,0,1,0,0,0,0
CHRND,0,1,8,9,1,3,4,0
CHRNE,0,0,0,0,0,0,0,0
CHRNG,0,0,0,1,0,0,0,0
chromosome_10_open_reading_frame_139,0,0,0,8,0,0,0,0
CHST1,1,1,0,20,0,5,0,2
CHST10,0,0,0,0,0,0,0,0
CHST11,0,0,1,25,0,0,3,0
CHST12,0,0,0,12,0,0,0,0
CHST13,0,0,0,19,0,0,0,0
CHST14,0,0,0,0,0,0,0,0
CHST15,0,0,0,1,0,0,0,0
CHST2,0,0,0,2,0,0,0,0
CHST3,0,0,0,0,0,0,0,0
CHST4,0,0,0,0,0,0,0,0
CHST5,0,0,0,0,0,0,1,0
CHST6,0,0,3,1,2,0,1,0
CHST7,0,0,0,0,0,0,0,0
CHST8,0,0,0,0,1,0,0,0
CHST9,0,0,3,1,0,1,0,0
CHSY1,0,0,0,0,0,0,0,0
CHSY3,0,0,0,16,0,0,0,0
CHTF18,0,0,0,0,0,0,0,0
CHTF8,330,757,8433,5466,4313,2830,3916,1048
CHTOP,0,0,6,14,1,3,9,2
CHUK,18,36,420,212,204,110,343,43
CHURC1,29,141,747,299,479,927,847,456
CHURC1-FNTB,0,0,4,15,3,0,8,0
CIAO1,1,2,11,27,10,10,8,3
CIAPIN1,23,87,1525,792,799,326,857,79
CIB1,0,0,0,0,0,0,3,0
CIB2,0,2,25,6,1,5,16,1
CIB3,2,1,7,4,6,4,3,7
CIB4,0,2,0,20,0,2,0,0
CIC,0,0,0,0,0,0,1,0
CIDEA,0,0,0,0,0,0,0,0
CIDEB,0,0,0,0,0,0,0,0
CIDEC,0,0,2,17,5,1,2,1
CIDECP,0,0,0,0,0,0,0,0
CIITA,0,0,0,1,0,0,0,0
CILP,0,0,0,0,0,0,0,0
CILP2,0,0,0,0,0,0,0,0
CINP,0,0,0,0,0,1,0,0
CIR1,0,0,0,1,0,0,0,0
CIRBP,0,0,0,0,0,0,0,0
CIRBP-AS1,0,0,0,7,0,0,0,0
CIRH1A,0,0,0,0,0,0,0,0
CISD1,0,0,1,17,0,0,0,0
CISD2,0,0,0,0,0,0,0,0
CISD3,0,0,0,0,0,0,0,0
CISH,9,5,28,35,13,24,23,8
CIT,0,0,0,0,0,0,0,0
CITED1,0,0,0,0,0,0,0,0
CITED2,0,0,0,0,0,0,0,0
CITED4,0,0,0,0,0,0,0,0
CIZ1,0,11,70,10,37,16,47,14
CKAP2,0,0,0,0,0,0,0,0
CKAP2L,1,5,6,4,5,13,9,4
CKAP4,0,0,0,0,0,0,0,0
CKAP5,0,0,0,0,0,0,0,0
CKB,8,11,124,60,75,93,117,35
CKLF,0,0,0,0,0,0,0,0
CKLF-CMTM1,0,0,0,0,0,0,0,0
CKM,0,1,0,0,0,0,0,0
CKMT1A,0,0,0,0,0,0,0,0
CKMT1B,0,0,0,0,0,0,0,0
CKS1B,0,0,0,0,0,0,0,0
CKS2,0,0,0,0,0,0,0,0
CLASP1,0,0,2,6,5,4,3,2
CLASP2,255,1144,4996,1778,2907,4155,3760,1953
CLASRP,3,8,67,68,35,32,47,13
CLC,2,13,119,72,66,78,116,38
CLCA1,0,0,0,0,0,0,0,0
CLCA2,0,0,0,0,0,0,0,0
CLCA3P,0,1,2,1,0,1,5,1
CLCA4,0,0,0,1,0,0,0,0
CLCC1,0,0,1,0,1,1,2,1
CLCF1,271,539,4085,2083,2722,2768,3462,1291
CLCN1,5,5,60,58,25,15,45,9
CLCN2,0,0,0,0,0,0,0,0
CLCN3,0,0,0,0,0,0,1,0
CLCN4,588,1355,3730,1986,2572,3617,3105,1599
CLCN5,0,0,6,0,3,4,9,5
CLCN6,38,158,629,210,251,255,605,116
CLCN7,1,0,222,36,71,79,372,26
CLCNKA,0,6,101,22,38,33,134,12
CLCNKB,636,5560,46143,14259,22351,23698,31939,10543
CLDN1,1,0,6,0,1,4,1,2
CLDN10,0,0,0,13,0,0,2,0
CLDN10-AS1,0,0,0,0,0,0,0,0
CLDN11,2,8,112,39,37,29,63,14
CLDN12,11,5,176,137,96,80,117,48
CLDN14,0,0,0,0,0,0,0,0
CLDN15,0,0,0,0,0,0,0,0
CLDN16,0,0,0,0,0,0,0,0
CLDN17,0,0,0,0,0,0,0,0
CLDN19,0,3,0,1,4,6,1,1
CLDN2,0,0,0,4,0,0,0,1
CLDN20,0,0,0,3,0,0,0,0
CLDN22,0,0,0,0,0,0,0,0
CLDN23,0,0,0,0,0,0,0,0
CLDN24,0,0,0,0,0,1,0,0
CLDN25,191,466,2397,1555,1584,1171,1451,470
CLDN3,0,0,1,6,0,4,4,1
CLDN4,0,0,0,1,0,4,3,0
CLDN5,0,0,0,1,0,0,2,0
CLDN6,0,0,0,11,2,1,0,2
CLDN7,0,1,2,15,1,6,4,2
CLDN8,0,0,0,1,0,2,0,0
CLDN9,0,1,0,0,0,0,0,0
CLDND1,0,0,0,0,0,0,0,0
CLDND2,0,1,6,1,0,5,1,1
CLEC10A,0,1,0,1,0,3,2,0
CLEC11A,445,368,2768,2223,1618,1510,1793,669
CLEC12A,161,552,2080,959,1320,2097,1949,1074
CLEC12B,0,2,5,14,0,1,1,1
CLEC14A,0,0,7,2,0,2,3,0
