Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
SOX30,95,610,1995,935,1107,858,1411,384
SOX4,0,0,0,0,0,0,0,0
SOX5,84,292,7837,3353,3853,2289,3307,1159
SOX6,0,0,0,0,0,0,0,0
SOX7,0,0,0,3,1,5,3,2
SOX8,0,0,0,0,1,0,2,0
SOX9,185,585,3545,1919,2086,3021,3157,1433
SP1,0,11,23,44,19,22,16,7
SP100,1,7,33,9,19,79,32,69
SP110,0,0,0,7,0,0,1,0
SP140,1021,3576,19310,9218,12384,10205,15828,4513
SP140L,0,2,8,0,3,3,4,1
SP2,1,2,2,7,2,7,9,2
SP3,0,0,7,12,3,0,2,0
SP4,0,0,0,0,0,0,0,0
SP5,0,6,11,18,4,3,9,6
SP6,0,0,0,0,0,0,0,0
SP7,0,0,1,1,4,0,0,1
SP8,0,2,21,13,5,4,2,1
SP9,0,0,0,3,0,0,0,0
SPA17,757,2563,6527,4382,4332,4518,5525,1924
SPACA3,0,0,0,0,0,0,0,0
SPACA4,0,0,1,11,0,0,1,0
