"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACVR2B",6045.11321378793,-0.0355108743328393,0.381287673494188,-0.093134073827804,0.925797048067209,0.980715444264234
"ACVR2B-AS1",12.9992863914823,-0.547429726724868,0.791571569533966,-0.691573254768567,0.489205362353536,NA
"ACVRL1",212.331828957281,-0.257360208429398,0.496936848085905,-0.517893187878288,0.604532795157167,0.876674706725992
"ACY1",1.14121382943777,-3.06544477268379,2.46388022958742,-1.24415332201318,0.213443139433976,NA
"ACY3",39.0297446894687,-0.0763645738493947,0.523051759087401,-0.145998120688156,0.883922872004803,0.966895052556283
"ACYP1",6.51132302217639,0.178574132219709,1.53181332429799,0.116576954506873,0.907195300821901,NA
"ACYP2",0,NA,NA,NA,NA,NA
"AD_1",9856.25374695979,0.803547455925755,0.356398549794298,2.25463166555963,0.0241564581416519,0.248599438126646
"ADA",4.85069457486029,-0.261036220912573,1.22933111900471,-0.212340041569852,0.831841758941893,NA
"ADAD1",2141.61475580909,0.0184054298835411,0.679606541679474,0.0270824789856448,0.97839394937942,0.99365111408553
"ADAD2",12.9893272074863,-0.647591651097082,0.80772907990512,-0.801743638068783,0.422701267504747,NA
"ADAL",1.38427850877507,2.49184025276995,2.5443315981845,0.979369298619721,0.327397541040679,NA
"ADAM10",0.450798568328195,3.19415184120405,3.46433956552047,0.922008879555136,0.356523944009794,NA
"ADAM11",0.180319427331278,2.34671937898314,3.48636445809412,0.673113613677101,0.500875013643608,NA
"ADAM12",0.519577842141669,2.47281293320771,3.46433943688873,0.713790602294014,0.475356671666457,NA
"ADAM15",0,NA,NA,NA,NA,NA
"ADAM17",0,NA,NA,NA,NA,NA
"ADAM18",40.368600488354,0.630030088949563,0.752422890137482,0.837335090688754,0.402404240042305,0.766687522450755
"ADAM19",0.402049406196194,-0.0581732160239832,3.4540748391763,-0.0168419095510553,0.986562735644265,NA
"ADAM1A",4792.04069624788,-0.230495917825624,0.426794902577386,-0.540062490047735,0.589153937771795,0.871599790358784
"ADAM2",4.28577470210598,0.283753135133854,1.06736212532401,0.265845235090872,0.790358403744901,NA
"ADAM20",3.32241497918129,1.70174350609406,1.53307172670525,1.11002210558753,0.266989500943854,NA
"ADAM20P1",0.681510183596152,2.07876212065924,2.47213448661007,0.840877440899161,0.400416597591967,NA
"ADAM21",0.772494480906929,0.0371644131971127,2.03168312212982,0.0182924260148173,0.985405569621677,NA
"ADAM21P1",0.804408393293288,-0.643541625555634,2.10593492371065,-0.305584763474892,0.759920822861217,NA
"ADAM22",0.0901597136656391,1.85591512051529,3.49918309063674,0.530385256342093,0.59584484618825,NA
"ADAM28",1.68173227521132,1.44160151783449,1.76218114942786,0.818077936143256,0.413312686589949,NA
"ADAM29",2.94475735442451,1.72982583694678,1.71720944505929,1.00734703150148,0.313768035981365,NA
"ADAM30",2.09861091710385,2.44881188080752,2.05988723954915,1.18880870456943,0.234514951926553,NA
"ADAM32",37953.218176974,0.700746621306111,0.29244712842747,2.39614806640136,0.0165683958334799,0.213826995092783
"ADAM33",0.0446013475484918,1.51351603510744,3.5106809539545,0.431117511092139,0.666382928676451,NA
"ADAM3A",7.82190289419311,-0.565369713091768,0.860861919046118,-0.656748429200154,0.511342688997054,NA
"ADAM6",4.80031719765803,1.64133270365924,1.07196433661474,1.53114487823593,0.125733590395696,NA
"ADAM7",0.920661667592024,0.112752432501782,2.3461176153038,0.0480591560142997,0.961669097347663,NA
"ADAM8",6.21866123333084,1.29864085656972,1.07181516103247,1.21162762366484,0.225654955507764,NA
"ADAM9",0.623651522412849,-0.488966573775057,2.31980518702154,-0.210779153573173,0.833059606138015,NA
"ADAMDEC1",0.180319427331278,2.34671937898314,3.48636445809412,0.673113613677101,0.500875013643608,NA
"ADAMTS1",0.790056983138586,2.99924374218933,3.35311131553535,0.894465903441228,0.371072664995869,NA
"ADAMTS10",0.180319427331278,2.34671937898314,3.48636445809412,0.673113613677101,0.500875013643608,NA
